,file,artist,title,lyrics
69,TRBGNGY128F14738B8.h5,Commander Cody And His Lost Planet Airmen,Cajun Baby (LP Version),"Way down yonder in the bayou country in dear old Louisianne
That's where live's my cajun baby the fairest one in the land
Her teeth're white and pearly hair black as coal
Wouldn't trade my cajun baby for the world's gold
Way down yonder in the bayou country in dear old Louisianne

My heart's been sad and lonely since the day I left her side
But today I got her letter said she'd be my cajun bride
Gonna go and wed my cajun baby and I've by the old bayou
Eat a lotsa shrimp and crawfish ride around in my old pirogue

Before the sun goes down this evening I'll be on my way
To see my cajun baby and there I'm gonna stay
On a Saturday night we go dancin' and listen to the fiddle-o
Lord I got me a cajun baby just a livin' and a lovin' by the old bayou"
70,TRBGNHU128F4220469.h5,Sunnyland Slim,Midnight Jump,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
71,TRBGNLG128F930F891.h5,The Zebras,Marching,
72,TRBGQKE128F425EDC9.h5,Beyoncé,Dangerously In Love Medley,
73,TRBGQTD128F42658D8.h5,Tunsi,Army,
74,TRBGQWH128F933C413.h5,Zbigniew Preisner,The Court,
75,TRBGRAL128F42480F9.h5,Knack,Dance Of Romance,
76,TRBGRAN128F9339A1B.h5,Maximilian Hecker,Creep Live Version,
77,TRBGRFB128F145DA2E.h5,Tim Wilson,It Takes A Village (To Raise A Nut) (Live),
78,TRBGRGB128F4289283.h5,Bitty McLean,Over The River,
79,TRBGRGT12903CC5019.h5,Open Hand,11th Street,"As we lie here in bed
Your eyes run right through me
Did you hear what I said
I'm falling
I'm falling down
Falling down

She said
And I thought that you would listen
We were not meant to end
I still don't know
What we always were
And I thought that you would give in
You told me love would never die
But you lied
You always lied

There was a time
I thought you were something
Something that I would never be
Now is the time
I know that you're nothing nothing
That I would want to be

Did you hear a thing I said?
Your eyes roll right through me
And I thought that you would listen
We were not meant to end
I still don't know
What we always were
And I thought that you would give in
You told me love would never die
But you lied
You always lied

There was a time
I knew you were something
Something that I would never be
Now is the time
I know that your nothing
Nothing that I would want to be

I feel like I am falling into my needs
I need for you to open your eyes

So give me one more try
I'll show you I can this time
To give my life

So give me one more try
So give me one more try
I feel the sun now
I feel the sun now"
80,TRBGRIM128F424E1D3.h5,Dennis O'Neill,Tre sonetti di Petrarca: III. I' vidi in terra angelici costumi - sonnet 156,
81,TRBGRIP128F147FCA6.h5,Phil Collins,Everyday,"I got lost, couldn't find my way
And I guess there's nothing more to say
Love can make you blind, make you act so strange
But I'm here and here I will stay

So everyday I cry (everyday...)
Yes everyday I fall (everyday...)
Do you ever wonder why (everyday...)
Why I love everything about you

But everyday I say I'll try
To make my heart be still
Till then every way there is to cry
Ourselves to sleep we will

It picked me up, knocked me off my feet
I've got no way to explain
Still I love you, love you, love you but this fire inside
Will never see the light of day

So everyday goes by (everyday...)
And everyday I fall (everyday...)
It makes me wonder why (everyday...)
My life's worth nothing without you

But everyday I say I'll try
To make my heart be still
'Cause every way there is to cry,
Ourselves to sleep, we will

You'll never know, no, no, no, no, no
You'll never know just how close we were
You'll never know, no, no, no, no, no
You'll never know
No you'll never see

The book closes and we try to forget
But I know that things won't change
How we feel, how life goes on
And that seems so strange

And so the light fades away (everyday...)
Try, try, try as I may (everyday...)
I can't stop thinking about you
It seems my life's worth nothing without you

But everyday I say I'll try
To make my heart be still
Till then every way there is to cry,
Ourselves to sleep, we will

Everyday, everyday you know I try so hard
Everyday, everyday it gets a little harder

(Repeat...)"
82,TRBGRKJ128F4261513.h5,Angela Lashley,Too Far From The Tree,
83,TRBGRLS12903CD13B4.h5,Emilio Tuero,Nostalgia,
84,TRBGRNH12903CF9685.h5,Joe Lynn Turner,Baby's Got A Habit,
85,TRBGRQE128F9353A29.h5,The Pharcyde,The Climb/Paranoia,
86,TRBGRSI128F92C9D4E.h5,Michèle Bernard,Amour noir N 7,
87,TRBGUPV128F427BCBA.h5,Carlos Nuñez,St Patrick's An Dro,
88,TRBGURA128F9316E7E.h5,Malkit Singh,Holli Holi Nach Kuriye,
89,TRBGUSS128F92F94BB.h5,Sex Pistols,Looking For A Kiss,
90,TRBGUTI128E07872F0.h5,Fabolous,In My Hood (Explicit Album Version),"When you grow up in my hood, help don't show up in my hood, gang signs go up in my hood, just 'cause you in my hood. Feel like I'm trapped in my hood, young kids get clapped in my hood, that's why I'm strapped in my hood, just 'cause you in my hood

In my hood
In my hood
In my hood

I'm always close to, feeling like a corner stander stoop to sit on, hallway post up. No matter where I go it's always post up, feels just like it IN MY HOOD, cops drive in it every 5 minutes. Look at your faces pat your waistes, try to find a stash where the gats and base is, I can't say that they racist. But I know it ain't the same in they town and as fucked up as it may sound IN MY HOOD, there's two ways to make it happen off the streets, balling on the courts or rapping off the beats. You hear the shells tapping off the crete and they clapping off the heat then the yellow tapes trapping off the street. But that's the way we were raised praying to god hoping that he keep us out the way of them strays.

When you grow up in my hood, help don't show up in my hood, gang signs go up in my hood, just 'cause you in my hood. Feel like I'm trapped in my hood, young kids get clapped in my hood, that's why I'm strapped in my hood, just 'cause you in my hood

In my hood
In my hood
In my hood

They drink till the cups dry, eat till the plates clean, niggas be in state greens before they turn 18, round here you never let the beat slide twice, everybody raised on four wings and beef fried rice. The mothers are getting younger today, got one in the hand, one in the stroller and one on the way. We don't have role models but we got those hand guns that hold hollows IN MY HOOD. Ain't no diploams or degrees, but you can get high from the aroma of the trees IN MY HOOD. I know it like navigation and fuck having patience, I'm gonna get mine you better get yours, cause every day is a struggle and one time ride through everyday just to bug you. That's how it is cause your rights be wrong and everybody got a white T on when you in my hood.

When you grow up in my hood, help don't show up in my hood, gang signs go up in my hood, just 'cause you in my hood. Feel like I'm trapped in my hood, young kids get clapped in my hood, that's why I'm strapped in my hood, just 'cause you in my hood

In my hood
In my hood
In my hood

We try to make the most of what we got, you either been hit of been close to getting shot IN MY HOOD, any nigga who pulls be getting got and dope heads fiend to get a dose of what we got. Young niggas be like they slow but you give them a blunt, bet they roll the weed like a pro, if you a chick it nots a problem to get you laid, but if you stick without a condom it'll get you aids. No sesame street kids, watch BET, look up to niggas that ain't got a G.E.D, I know a dude with the deadbeat tag, kids don't got diapers but hes riding in the red g wag. In the hood you and your hoods is sure to bump heads and everybody grew up sleeping on a bunk bed there telling me to vote... and I would if it make a change in my hood. Motherfucker.

When you grow up in my hood, help don't show up in my hood, gang signs go up in my hood, just 'cause you in my hood. Feel like I'm trapped in my hood, young kids get clapped in my hood, that's why I'm strapped in my hood, just 'cause you in my hood

In my hood
In my hood
In my hood"
91,TRBGUUE128F1494FB6.h5,David Bowie,Baal's Hymn,"Whilst his mother's womb contained the growing Baal
Even then the sky was waiting quiet and pale
Naked, young, immensely marvellous
Like Baal loved it, when he came to us

That same sky remained with him in joy and care
Even when Baal slept peaceful and unaware
At night a lilac sky, a drunken Baal
Turning pious as the sky grows pale

So through hospital, cathedral, whiskey bar
Baal kept moving onwards and just let things go
When Baal's tired, boys, Baal cannot fall far
He will have his sky down there below

When the sinners congregate in shame together
Baal lay naked, revelling in their distress
Only sky, a sky that will go on forever
Formed a blanket for his nakedness

And that lusty girl, the world, who'll laughing yield
To the men who'll stand the pressure of her thighs
Sometimes gave him love-bites, such as can't be healed
Baal survived it, he just used his eyes

And when Baal saw lots of corpses scattered round
He felt twice the thrill, despite the lack of room
""Space enough"" said Baal, ""then I'll thicken the ground
Space enough within this woman's womb""

Any vice for Baal has got its useful side
It's the man who practices it, he can't abide
Vices have their point, once you see it as such
Stick to two for one will be too much

Slackness, softness are the sort of things to shun
Nothing could be harder than the quest for fun
Lots of strength is needed and experience too
Swollen bellies can embarrass you

Under gloomy stars and this poor veil of tears
Baal will graze a pasture till it disappears
Once it's been digested to the forest's teeth
Baal trod singing for a well earned sleep

Baal can spot the vultures in the stormy sky
As they wait up there to see if Baal will die
Sometimes Baal pretends he's dead, but vultures swoop
Baal in silence dines on vulture-soup

When the dark womb drags him down to its prize
What's the world still mean to Baal, he's overfed
So much sky is lurking still behind his eyes
He'll just have enough sky when he's dead

Once the Earth's dark womb engulfed the rotting Baal
Even then the sky was up there, quiet and pale
Naked, young, immensely marvellous
Like Baal loved it when he lived with us"
92,TRBGUUF128F9334B97.h5,El Gran Combo De Puerto Rico,No Hay Manera,
93,TRBGVDI128F1495B59.h5,Ann Nesby / Jamecia Bennett,Advice,
94,TRBGVOJ12903CDA92E.h5,Bobby Valentin,Yo Soy Abacua,
95,TRBGVSE128EF3686B6.h5,fIREHOSE,Let The Drummer Have Some,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
96,TRBGVWB12903CE31A6.h5,Zombie Girl,The Darkness (Komor Kommando Mix),"All alone, flesh and bone, evil carved in stone
Smell the fear
Somewhere up in these hills awaits the darkest chills
Can you hear?

Where are you gonna go?
There's nowhere to go now
Trapped in this world, you're lost forever

There's nobody here to save you
There's nobody near to hear you
There's nobody here to save you
There's nobody near to hear you

In this place, in this time and space
Fear, hate, and evil awaits you
Soon the siren will reign, better run from the pain
Before the darkness will eat you

Go, Go, Get away now
Go, Go, Run away now
Go, Go, Get away now
Go, Go... Go

Where are you gonna go?
There's nowhere to go now
Trapped in this world, you're lost forever

There's nobody here to save you
There's nobody near to hear you

There's nobody here to save you
There's nobody near to hear you

There's nobody here to save you
There's nobody near to hear you

There's nobody here to save you
There's nobody near to hear you"
97,TRBGWAT12903CF15AF.h5,Fred Merpol,Glisse,
98,TRBGWEG12903CFF7EE.h5,Twenty 4 Seven,You Gotta Be Safe,"Wake up, wake up, better stand up,
We know what time it is, we better stop.
If you care for you life, pay attention,
But even if you don't I wanna mention.
Have fun and have a good time,
Make the best of life and do it fine.
But you gotta think,
You know you gotta behave, cause...

Just take it easy when you go,
Cause there's time enough for the show,
Don't forget the feeling of romance,
Even though your mind is in trance.
Don't be mislead by vision,
'Cause it's more that just a decision.
It is a rule and a new way of living,
And it's the only chance that is given.

Nothing's wrong is dreaming,
About the way your life used to be.
But let me tell you life is beaming,
Just look around and you'll see,
Get with it and stick with the program,
Don't take the risk if you can.
I believe it's more than just a wave, and ...

Can we try, try to make a new life,
Let's start right now, don't jive.

I'm gonna be number one in proving,
That I think before I start moving.
Let's get it right, don't hesitate,
Don't wait to long 'cause it's late.
And if you know there's danger baby,
It is guarantee, no maybe.
Bang! An explosion,
Can you feel the vibe and it's strong.
Bang! Bang! That's the notion,
Taking care of life can't be wrong.
Keep on loving, 'cause it's good,
And standing tall is brave.
I really hope that you understood, that...

Oh let it go through your body.
Oh let it go through your soul.
Oh if you wanna dance with somebody,
Yhere's one thing you should know.

Do you know,
What you can do if you want to?
Do you know,
Don't let your mind run free.
Do you know,
Better be safe than sorry.
Do you know,
That is the one for me."
99,TRBGWEJ128F1460BEF.h5,Hacken Lee,Kan Hai De Ri Zi,
100,TRBGXHS128F426B568.h5,M,Je Suis Une Cigarette,
101,TRBGXJO12903CE888B.h5,Non Stop DJs,Hydraulic Pimp,
102,TRBGXQP128F4290B22.h5,Roger Sanchez,Lost,"I saw a picture yesterday,
You know the one, we were laughing in the rain
Remember how it used to be,
Remember when you were still in love with me

But you turned away,
And I start to cry
I'm lost without your love
And I won't survive
Don't leave me alone tonight
I'm lost without your love and I won't survive

I can't believe that we are through
Is it someone else?
Have ya found somebody new?
'Cause I die inside every time I close my eyes
And imagine myself living without you

But you turned away
And I start to cry
I'm lost without your love
And I won't survive
Don't leave me
Alone tonight
I'm lost without your love
And I won't survive"
103,TRBGXSP12903CD05DA.h5,Guy Forsyth,When I Think About Love,
104,TRBGXTO128F9307677.h5,Mish Mash,Speechless,
105,TRBGXTS128F9308E62.h5,Helen Hobson,Merry-Go-Round,
106,TRBGXWM128F428E59A.h5,Los Chichos,Nieve,
107,TRBGXYD12903CBA5D0.h5,The Jordanaires & Orion,Up on the House Top,
108,TRBGXZU128F4255D4F.h5,Alfredo Gutiérrez,Dos Mujeres,
109,TRBGXZY12903CB6A2E.h5,Hard Romantic,Sincerely_,
110,TRBGYBT128F428C80B.h5,Rita Chiarelli,This Is My Life,
111,TRBGYCS128F4277187.h5,Limbonic Art,A Void Of Lifeless Dreams,"I close my eyes and transcend
Beyond the light to a dark world without end
The spirit escapes the temple of flesh
As seductive winds of madness
Absorbing me in to the cryogenic system

A void of lifeless dreams

Enter a galactic domain
Frozen in time and space
A new infinity of serenity
Interstellar voyage
The spirit escapes the temple of flesh
Into the sphere of mystified gloom
A cosmic funeral of memories

A void of lifeless dreams

Sarcophagus panorama

A mania to explore the enigma
Isolated celestial corpse
Astral embryonic life form
Invocation of the dormant realms

A void of lifeless dreams"
112,TRBGYDZ12903D075D4.h5,Patty Griffin,All Creatures Of Our God And King,"All creatures of our god and king
Lift up your voice and with us sing
Alleluia, alleluia

Thou rising moon, in praise rejoice
Ye lights of evening, find a voice
Alleluia, alleluia
Alleluia, alleluia, alleluia

Thou rushing wind that art so strong
Ye clouds that sail in heaven along
Alleluia, alleluia

Thou rising moon, in praise rejoice
Ye lights of evening, find a voice
Alleluia, alleluia
Alleluia, alleluia, alleluia

Thou flowing water, pure and clear
Make music for thy lord to hear
Alleluia, alleluia

Thou fire so masterful and bright
That givest man both warmth and light
Alleluia, alleluia
Alleluia, alleluia, alleluia"
113,TRBGYFJ128F92D0254.h5,Bobby Darin,Hi De Ho,
114,TRBGYLV128F4285763.h5,The Five Stairsteps,Playgirl's Love,"(You're just a playgirl's love)
(You're just a playgirl's love)

She said she loved me
And I said the same
Whenever she's with me
She sets my heart aflame

But when she left me
For another guy, I knew

(You're just a playgirl's love)
You're just a playgirl's love
(You're just a playgirl's love) yeah-eh

When we walked down the street
My heart drops to my feet
I just can't understand
Why I can't be a man

But when she left me
For another guy, I knew

(You're just a playgirl's love)
You're just a playgirl's love
(You're just a playgirl's love) yeah, yeah, yeah, yeah

(You're just a playgirl's love),
(You're just a playgirl's love),
(You're just a playgirl's love),
(You're just a playgirl's love)

Any time when we're together
It doesn't matter about the weather
If a fella drops her a line
She just tells them she's mine till the ends of time

But she doesn't love me
And now I'm a wise, because

(You're just a playgirl's love)
You're just a playgirl's love
(You're just a playgirl's love)
You're just a playgirl's love
(You're just a playgirl's love)
You're just a playgirl's love
(You're just a playgirl's love)

(Just a playgirl's love)"
115,TRBGYQN128F42BAA17.h5,Trick Trick / Obie Trice,War,
116,TRBGYSS128F1487760.h5,Clara Nunes,Sofrimento De Quem Ama (1997 Digital Remaster),
117,TRBGYTF128F422F519.h5,Fruko Y Sus Tesos,La Maquina Del Sabor,
118,TRBGYVK128F426A0D6.h5,Joey Negro,Make A Move On Me,"Come on make a move on me

Come on make a move on me

Come on make a move on me

Come on make a move on me now boy

I've been watching you watching me

What you gonna do?

Let's stop playing these silly games

Do what you gonna do

Oh you gotta

Feel me, heal me chase me chase me

Move me sooth me tease me

Leave me, trim me, grim me

Grill me feel me take me make me

Leave me leave me

Come on make a move on me

Make a move on me

Come on make a move on me

Come on make a move on me

Oh make a move on me

Come on make a move on me now boy

Come on make a move on me

Oh baby

Come on make a move on me

Oh make a move on me

Make a move on me

Come on make a move on me

Make a move on me

Come on make a move

Come on make a move

Come on make a move

Come on make a move

I promise you I won't bite

Unless you want me to

(Unless you want me to baby)

I'll make love to you all through the night

If you want me to

(Ah do you need it?)

Come on and feel me, heel me chase me chase me

Move me sooth me tease me

Leave me, trim me, grim me

Grill me feel me take me make me

Leave me leave me

Come on make a move on me

Come on make a move on me

Baby make a move on me

Come on make a move on me

Come on make a move on me now boy

Right now right now

Come on make a move

Come make a move on me

Come on make a move

Come make a move on me

Come on make a move"
119,TRBGZBM128F14928A3.h5,Young-Holt Unlimited,Wichita Lineman (LP Version),
120,TRBGZED128F425DF76.h5,Megadrums,Primal Forces,
121,TRBGZFI12903CA54B6.h5,Caspa,Power Shower,
122,TRBGZKO128F92DB016.h5,Bloc Party,Zephyrus,"Backwards, forwards but making no ground at all
Standing in the city with the clocks counting one
And your face is still wet from the fight before
As your tears hit the ground, blue flowers spring from them
Baby, I'm ashamed of the things I put you through
Baby, I'm ashamed of the man I was for you

And all you said in your quietest voice
Was, ""I needed you as much as they do""
And all you said in your quietest voice
Was, ""I needed you as much as they do""

How fast must we run before we can just take off in flight?
How far must we run before they do not recognise us?
So let's take this from the start, you'll be me and I'll be you
And let's try not to complain about your smoking
And my distant heart, and my distant heart
And my distant heart

And all you said in your quietest voice
Was, ""I needed you as much as they do""
And all you said in your quietest voice
Was, ""I needed you as much as they do""

(Too many mirrors in this house)
(And I don't like to see myself like this)
(I'm becoming the man I used to be, I guess)
(These walls could tell you a thing or two)
(Things that you really don't want to know)
(Lend me your eyes for your point of view)
(Lend me your feet and I'll stand by you)

And all you said in your quietest voice
Was, ""I needed you as much as they do""
And all you said in your quietest voice
Was, ""I needed you as much as they do"""
123,TRBGZLM128F4221E63.h5,Less Than Jake,Fucked,"Focus a moment
On the message sent
The anthem of a generation
Based on degredation and resent
Where money and power
And being the man of the hour
Has left communication
Left it standing out to sour
We fucked ourselves again"
124,TRBGZQQ128EF354F69.h5,DJ Quik,Ladies And Thugs,
125,TRBGZQZ128F427E394.h5,Rachel Loy,The Same Man (For Matthew),
126,TRBGZRQ12903CFAAA4.h5,Hank Locklin,Let Me Be the One,"Let me be the one to walk with you when you want somebody to talk with you
Anything that makes you happy I wanna do oh darling let me be the one
Let me be the one who means the most the one you wanna love and call your own
And when you choose your partner I wanna be the choice oh please let me be the one
Let me be the one to sit with you
And when you want some lovin' I'll know just what to do
Lots of lots of huggin' and a kiss or two you've gotta let me be the one
Let me be the one to take you out to your favorite places you have no doubt
And when the evening's gone we'd kiss goodnight oh please let me be the one

Let me be the one to share with you all your little pleasures and sorrows too
In all kind of weather I wanna be with you oh please let me be one
Let me be the one to hold your hand when the preacher says do you take this man
All these happy thoughts will mean so much fun if you'd only let me be the one"
127,TRBGZRZ128F42668B2.h5,Earth,Endless Winter,
128,TRBGZUR128F92FD8ED.h5,Atomic Rooster,Take It For Granted,
129,TRBGZYP128F4222C37.h5,unloco,Nothing (Album Version),"I've got nothing left for you to take away
I know ya blame me for every time you walked away
So what ya hate me and everything I seem to do
So look back don't turn away
It was my face that you were lying to
And in my life you can find everything ya separate
And in my life you can find everything ya wanna take away

I got nothin'
I got nothin'
I got nothin'
I got nothin'
I got nothin'
I got nothin'

So what it's not the same every word out your mouth is shit
So look back don't turn away
I'm sick, I'm through, and I'm fed up with this
And in my life you can find everything ya separate
And in my life you can find evreything you wanna take away

I got nothin'
I got nothin'
I got nothin'
I got nothin'
I got nothin'
I got nothin'

You saw the door as everything ya separate
I know
I know
You give what you take away
So what you hate me and everything I seem to do
I know ya blame me for every time I walk out on you

I've got nothing

I got nothin'
I got nothin'
I got nothin'
I got nothin'
I got nothin'
I got nothin'"
130,TRBHAAD128F9341700.h5,Deodato,Latin Flute,
131,TRBHAAK128F92E27BF.h5,Wyclef Jean,Jean Dominique Intro,"Ehhhh, zhe, zhe, zhe, zhe

I was four, four years old
When the Marine left Haiti, the U.S. Marine left Haiti
I was a kid and every time a Marine battalion passed in front of the house
My father took my hand and said,
""Don't look at that, don't look at that.""

And every May 18, which is the flag day, the father came
Put the Haitian flag in front of the house
And I said, ""Father, what is that, what does that mean for you?""
And he said,""That means that you are Haitian. 
That mean that my great grandfather fought at Vertières
Never forget that.
You are Haitian. You are from this land.
You are not French, you are not British, you are not American
You are Haitian."""
132,TRBHDRQ128F933CAB3.h5,Konexion,Apostasie,
133,TRBHDSI128F9331867.h5,Slum Village,The Things You Do,
134,TRBHDSW128F42ABC12.h5,Vangelis,Heaven And Hell (Part II),
135,TRBHDTL128F1468F7D.h5,The Motors,Dancing The Night Away,"So you want to believe
Everything that you read
And you think that you're makin' the grade
And just when you're getting it made
You're still in love with her

She'll ask you to kiss her
Hopin' you'll miss her
By takin' your mind off the road
Just when you're ready to go
You turn your back on her

You're fixin' your mind on the road ahead
At last you're gonna be free
You love her you kiss her
Be glad that you miss her

Dancing the night away
Dancing the night away
Dancing the night away
Dancing the night away

So you turn on the smiles
'Cause you think it's the big time
The cost just is more than the star
And nobody knows who you are
Don't even know your name

At last they accept you
They kiss and caress you
And ask you to reach for the sky
And just when you're ready to die
They turn their back on you

So they put you in Hell
In Survival Hotel
Where they wish you would die from the cold
They know you belong to a travelin' show

Dancing the night away
Dancing the night away
Dancing the night away
Dancing the night away

Dancing the night away
Dancing the night away
Dancing the night away
Dancing the night away

So you want to believe
Everything that you read
And you think that you're makin' the grade
And just when you're getting it made
You're still in love with her

She'll ask you to kiss her
Hopin' you'll miss her
By takin' your mind off the road
Just when you're ready to go
You turn your back on her

You're fixin' your mind on the road ahead
At last you're gonna be free
You love her you kiss her
Be glad that you miss her

Dancing the night away
Dancing the night away
Dancing the night away
Dancing the night away

Dancing the night away
Dancing the night away
Dancing the night away
Dancing the night away"
136,TRBHDYA128F4280E77.h5,The Sun Harbor's Chorus-Documentary Recordings,Marine's hymn,
137,TRBHEBY128F148CF2B.h5,Sister Hazel,Concede,"Concede and believe me
I won't give up I won't give out on you
Concede and believe me
I won't give up I won't give out on you
Oh no no no la la la la la
You, oh no

Now here I promise to listen
Why won't you go for that
And here I promise to hold you
Why won't you go for that

If I had wings and I could fly
Well I'd still walk with you
If I had a safe place to lie
I'd want to lay with you

Concede and believe me
I won't give up I won't give out on you
Concede and believe me
I won't give up I won't give out on you
Oh no no no la la la la la
You, oh no

So now you shut off oh and you shut down
And won't let nobody in
And when you shut off oh and you shut down
Won't play that fool again

I see your inside
You stay inside
And I won't go for that
I see your quarters oh your crooked sacred pictures on the wall

Concede and believe me
I won't give up and I won't give out on you
Concede and believe me
I won't give up I won't give out on you
Oh no no no la la la la la
You, oh no

I'll be your jester, I'll be your fool
Comprising fool
I'll be your jester, I'll be your fool

Concede and believe me
I won't give up and won't give out on you
Concede and believe me
I won't give up I won't give out"
138,TRBHECY128F930A474.h5,John Sebastian,Freezin' From The Inside Out,"Cross-eyed and crazy I sit here in the snow
Lookin' at the sky and wonderin' if there may be more
I thought I was prepared but I guess that I was not
Now I'm freezin' from the inside out

Snowbound, we was locked up inside
For an awful long time
Snowbound, when the snow and the cold
Play tricks on your mind

I smiled quite blankly as down that icy road
My neighbor came waving and breaking through the snow
His blankets and jackets were too late for me now
That I'm freezin' from the inside out

I know that I'm older but there's spaces I forgot
I think it got colder when the front door was locked

My kids are all crying, I've burned up all their toys
My wife wants me to go out and get drunk with the boys
But liquor will not warm me, or raise my spirits now
That I'm freezin' from the inside out"
139,TRBHEHF128F428385A.h5,George Michael,Amazing,"I was a mixed up when you came to me
Too broke to fix, except daddy get your gun
I'm missing my baby,
Still missing my baby

I was a stitched up by the hands of fate
Said how you gonna make it on your own
If luck is a lady,
Maybe luck is a lady

I was going down for the third time
My heart was broken, I was not open to your suggestions
I had so many questions
That you just kissed away

Tell me,
I guess that cupid was in disguise
The day you walked in and changed my life
I think it's amazing
The way that love can you set you free

So now I walk in the midday sun
I never thought that my saviour would come
I think it's amazing
I think it's amazing

I think you're amazing

You tried to save me from myself
Said darling, kiss as many as you want
My love's still available
And I know you're insatiable

We're like victims of the same disease
Look at your big bad daddy and your mom
And your mom, was always acting crazy

I was going down for the third time
My heart was broken,
I though that loving you was out of the question
(Loving you was out of the question)
Then I saw my reflection (reflection)
Saying please don't let this go

Tell me,
I guess that cupid was in disguise
The day you walked in and changed my life
I think it's amazing
The way that love can you set you free

So now I walk in the midday sun
I never thought that my saviour'd come
I think it's amazing
I think you're amazing

(Celebrate the love of the one you're with) x18

Celebrate this life with you baby
I'd think you should celebrate, yeah
Don't put your love in chains, babe
Now I walk in the midday sun
I never thought I would see love
I think it's amazing
I think you're amazing

(I said celebrate the love of the one your're with)
Celebrate!
Celebrate!
As this life gets colder
And the devil inside
Tells you to give up, baby
Now I walk in the midday sun"
140,TRBHEJE12903CBEE90.h5,Lara,La Pieuvre,
141,TRBHEKQ12903CF2B6A.h5,Tilman Sillescu,Escape From The Underrealm,
142,TRBHEMP128F932DA55.h5,Sonic Subjunkies,Djungelstadt,
143,TRBHEOR128F429D1B0.h5,The Box Tops,I Can Dig It,
144,TRBHEOU12903CBF12B.h5,Grandpa Jones,You Make Our Shack A Mansion,
145,TRBHEQT12903CA76CD.h5,Little Joe & The Thrillers,Peanuts,
146,TRBHEQU128F932B874.h5,Peter Tosh & Winston Scotland,Maga Dog/ Skanky Dog (Album),
147,TRBHEQY128F4275F54.h5,Bobby Pulido,Mi Corazón Y Mi Mente,
148,TRBHESQ128F931BF15.h5,Home Town Hero,Bleeds In Blue (Album Version),"Today, I'll start it with a lie
I love it when you cry
When all along, it hurts too
But hey, a little lullaby
Can start with burning eyes
When all along, she feels good

I'm caught up by the angel
And its heart that bleeds in blue
I want you to cut out my tongue
So I can dip it into you
Some may say, they've heard it all before
But I still can't believe that time
You walked into my door

And laugh every time you open wide
I'll end in twice the time
When all along, I feel good
But hey, a little lullaby
Can start with burning eyes
When all along, she feels good, feels good

Oh, take me away"
149,TRBHEUX128F425020D.h5,Sharon Shannon,Gaffo's Ball,
